index	chinese_rank	frequency	word	traditional	pinyin	matched	meaning
855	1753	34.81	伤心	傷心	shāngxīn	thương tâm	thương tâm/đau lòng
856	1756	34.69	创业	創業	chuàngyè	sáng nghiệp	gây dựng sự nghiệp/lập nghiệp/sáng nghiệp/gây dựng cơ đồ/sáng dựng sự nghiệp/lập nên sự nghiệp
857	1757	34.63	恋爱	戀愛	liànài	luyến ái	luyến ái/yêu đương/yêu nhau
858	1760	34.53	大师	大師	dàshī	đại sư	đại sư/bậc thầy/siêu sao/sư phụ
859	1763	34.48	呼吸	呼吸	hūxī	hô hấp	hô hấp/thở/hít thở/thở ra hít vào/cực ngắn/nháy mắt/chốc lát
860	1767	34.44	西藏	西藏	xīcáng	tây tạng	Tây Tạng/khu tự trị Tây Tạng
861	1772	34.31	黄金	黃金	huángjīn	hoàng kim	hoàng kim/vàng/bảo vật/vật quý/quý báu
862	1775	34.26	争取	爭取	zhēngqǔ	tranh thủ	tranh thủ/thực hiện/ra sức thực hiện
863	1780	34.19	促进	促進	cùjìn	xúc tiến	xúc tiến/đẩy mạnh/thúc mau/giục gấp/thúc đẩy phát triển
864	1783	34.17	机器	機器	jīqì	cơ khí	máy móc/cơ khí
865	1789	34.06	学费	學費	xuéfèi	học phí	học phí/chi phí
866	1792	33.96	全身	全身	quánshēn	toàn thân	toàn thân
867	1793	33.96	浪费	浪費	làngfèi	lãng phí	lãng phí/hoang phí/phí phạm
868	1794	33.93	成果	成果	chéngguǒ	thành quả	thành quả/kết quả
869	1795	33.92	书店	書店	shūdiàn	thư điếm	thư điếm/nhà sách/cửa hàng sách
870	1797	33.88	地球	地球	dìqíu	địa cầu	địa cầu/trái đất/quả đất
871	1799	33.82	师父	師父	shīfù	sư phụ	sư phụ
872	1803	33.78	学期	學期	xuéqī	học kỳ	học kỳ
873	1805	33.75	离婚	離婚	líhūn	ly hôn	ly hôn/ly dị
874	1808	33.67	穿过	穿過	chuānguò	xuyên qua	xuyên qua/đi qua/băng qua/vượt qua/ngang qua/vắt ngang/đâm thủng/lọt qua
875	1811	33.65	老太太	老太太	lǎotàitài	lão thái thái	lão thái thái/bà/quý bà/cụ nhà
876	1812	33.65	武器	武器	wǔqì	vũ khí	vũ khí
877	1814	33.58	智慧	智慧	zhìhùi	trí tuệ	trí tuệ/trí khôn/thông minh/sáng suốt
878	1815	33.57	夫妇	夫婦	fūfù	phu phụ	vợ chồng/phu phụ
879	1816	33.56	分类	分類	fēnlèi	phân loại	phân loại/sắp xếp
880	1819	33.48	冠军	冠軍	guānjūn	quán quân	quán quân/giải nhất
881	1823	33.46	监督	監督	jiāndū	giám đốc	giám sát/đốc thúc/giám đốc/giám sát viên/đốc công/người làm nhiệm vụ giám sát
882	1826	33.42	分配	分配	fēnpèi	phân phối	phân phối/phân/bố trí/phân công
883	1827	33.4	硕士	碩士	shuòshì	thạc sĩ	thạc sĩ
884	1828	33.34	强大	強大	qiángdà	cường đại	cường đại/lớn mạnh/mạnh mẽ/hùng mạnh
885	1831	33.32	主持	主持	zhǔchí	chủ trì	chủ trì/chủ trương/ủng hộ/giữ gìn/bảo vệ/chủ trương công cuộc gì
886	1836	33.26	考察	考察	kǎochá	khảo sát	khảo sát/quan sát thực tế/điều tra thực tế/quan sát tỉ mỉ/quan sát cẩn thận
887	1841	33.15	教堂	教堂	jiàotáng	giáo đường	giáo đường/nhà thờ
888	1842	33.14	商量	商量	shāngliàng	thương lượng	thương lượng/bàn bạc/trao đổi
889	1846	33.02	对手	對手	dùishǒu	đối thủ	đối thủ/đấu thủ/ngang tài ngang sức/địch thủ
890	1848	32.98	公民	公民	gōngmín	công dân	công dân
891	1849	32.97	一刻	一刻	yīkè	nhất khắc	một khắc/nhất khắc/phút chốc/khoảnh khắc
892	1850	32.95	将军	將軍	jiāngjūn	tướng quân	tướng quân/chiếu tướng/làm khó/cấp tướng/sĩ quan cao cấp
893	1851	32.94	手续	手續	shǒuxù	thủ tục	thủ tục/giấy tờ
894	1852	32.92	事物	事物	shìwù	sự vật	sự vật
895	1855	32.81	财富	財富	cáifù	tài phú	tài phú/của cải/tài nguyên/giá trị
896	1856	32.8	区域	區域	qūyù	khu vực	khu vực/vùng
897	1862	32.66	工厂	工廠	gōngchǎng	công xưởng	nhà xưởng/công xưởng/xưởng/nhà máy
898	1864	32.58	标题	標題	biāotí	tiêu đề	tiêu đề/đầu đề/tít/tựa
899	1866	32.49	严肃	嚴肅	yánsù	nghiêm túc	nghiêm túc/nghiêm/làm cho nghiêm túc/nghiêm minh
900	1868	32.46	斗争	斗爭	dǒuzhēng	đấu tranh	đấu tranh/tranh đấu/đấu/đấu nhau/phấn đấu
901	1889	32.11	中华	中華	zhōnghuá	trung hoa	Trung Hoa
902	1891	32.1	局长	局長	júcháng	cục trưởng	cục trưởng
903	1892	32.1	告别	告別	gàobié	cáo biệt	cáo biệt/cáo từ/chia tay/tạm biệt/từ biệt/vĩnh biệt/biệt từ
904	1896	31.99	核心	核心	héxīn	hạch tâm	trung tâm/hạch tâm/hạt nhân/chính/chủ yếu/nòng cốt
905	1898	31.95	渴望	渴望	kěwàng	khát vọng	khát vọng/khát khao/tha thiết/ao ước/mong ngóng
906	1901	31.85	取消	取消	qǔxiāo	thủ tiêu	hủy bỏ/thủ tiêu/huỷ bỏ/xoá bỏ/bãi bỏ
907	1909	31.75	资本	資本	zīběn	tư bản	tư bản/vốn/tư sản
908	1911	31.65	愿望	願望	yuànwàng	nguyện vọng	nguyện vọng/ý nguyện/ước vọng/mong muốn
909	1912	31.64	相应	相應	xiāngyìng	tương ứng	tương ứng/nên/phải/thích hợp/khớp/rẻ/hời
910	1913	31.64	情景	情景	qíngjǐng	tình cảnh	tình cảnh/tình hình/cảnh tượng
911	1916	31.6	大会	大會	dàhùi	đại hội	đại hội/hội nghị/mít-tinh
912	1917	31.57	不满	不滿	bùmǎn	bất mãn	bất mãn/không vừa lòng
913	1918	31.57	队员	隊員	dùiyuán	đội viên	đội viên/đội viên đội thiếu niên tiền phong
914	1921	31.48	案件	案件	ànjiàn	án kiện	án kiện/vụ án/trường hợp
915	1923	31.45	标志	標誌	biāozhì	tiêu chí	dấu hiệu/tiêu chí/ký hiệu/cột mốc/đánh dấu/cắm mốc/nêu rõ/chứng tỏ
916	1926	31.41	初中	初中	chūzhōng	sơ trung	sơ trung/trung học/trung học sơ cấp/trung học cơ sở
917	1928	31.38	密码	密碼	mìmǎ	mật mã	mật mã
918	1933	31.32	修炼	修煉	xīuliàn	tu luyện	tu luyện
919	1936	31.3	家乡	家鄉	jiāxiāng	gia hương	gia hương/quê nhà/quê hương
920	1940	31.13	精华	精華	jīnghuá	tinh hoa	tinh hoa/tinh tuý
921	1942	31.09	目录	目錄	mùlù	mục lục	mục lục/bản kê/thư mục
922	1945	31.05	无限	無限	wúxiàn	vô hạn	vô hạn/vô cùng/vô tận
923	1947	30.96	宝贝	寶貝	bǎobèi	bảo bối	bảo bối/cục cưng/bé cưng/của quý/của báu
924	1952	30.84	战士	戰士	zhànshì	chiến sĩ	chiến sĩ
925	1957	30.77	改善	改善	gǎishàn	cải thiện	cải thiện/cải tiến
926	1960	30.69	冲突	衝突	chōngtū	xung đột	xung đột/mâu thuẫn/va chạm/bất đồng/đụng chạm/xích mích/công kích/tấn công
927	1961	30.67	成就	成就	chéngjìu	thành tựu	thành tựu/thành quả/thành tích/hoàn thành/làm trọn/đạt được/giành được
928	1962	30.66	公平	公平	gōngpíng	công bình	công bình/công bằng/không thiên vị
929	1967	30.62	伦敦	倫敦	lúndūn	luân đôn	Luân Đôn/London
930	1970	30.55	路线	路線	lùxiàn	lộ tuyến	lộ tuyến/tuyến đường/đường đi/đường lối
931	1972	30.52	证实	證實	zhèngshí	chứng thật	chứng thật/chứng thực/chứng minh là đúng
932	1973	30.51	战斗	戰鬥	zhàndǒu	chiến đấu	chiến đấu/đấu tranh
933	1980	30.36	规律	規律	gūilv̀	quy luật	quy luật/luật
934	1984	30.33	年度	年度	niándù	niên độ	niên độ/hàng năm
935	1987	30.26	首都	首都	shǒudū	thủ đô	thủ đô/thủ phủ
936	1988	30.25	沉重	沉重	chénzhòng	trầm trọng	trầm trọng/nặng/nặng nề/nặng trĩu/phiền toái/trách nhiệm/gánh nặng/nhiệm vụ
937	1990	30.18	遭遇	遭遇	zāoyù	tao ngộ	gặp được/tao ngộ/gặp/gặp phải/cảnh ngộ
938	1992	30.14	证据	證據	zhèngjù	chứng cứ	chứng cớ/chứng cứ/bằng chứng
939	1994	30.1	异常	異常	yìcháng	dị thường	dị thường/khác thường/đặc biệt/phi thường/rất
940	1995	30.09	分手	分手	fēnshǒu	phân thủ	chia tay/biệt ly/phân thủ/chia tay mỗi người đi một ngả
941	2000	30.05	天堂	天堂	tiāntáng	thiên đường	thiên đường/thiên đàng/thiên thai/nơi sống hạnh phúc tốt đẹp
942	2001	30.04	百姓	百姓	bǎixìng	bách tính	dân chúng/bách tính/nhân dân/trăm họ
943	2004	30.01	受伤	受傷	shòushāng	thụ thương	bị thương/thụ thương
944	2005	29.94	情形	情形	qíngxíng	tình hình	tình hình
945	2007	29.93	特征	特徵	tèzhēng	đặc trưng	đặc thù/đặc trưng
946	2008	29.92	结论	結論	jiélùn	kết luận	kết luận/phán quyết/tuyên án/kết thúc/phần cuối/sự chấm dứt
947	2013	29.86	利润	利潤	lìrùn	lợi nhuận	lợi nhuận/lãi
948	2016	29.81	具备	具備	jùbèi	cụ bị	cụ bị/có/đầy đủ/có đủ/có sẵn
949	2017	29.79	坚决	堅決	jiānjué	kiên quyết	kiên quyết/cương quyết
950	2028	29.64	院长	院長	yuàncháng	viện trưởng	viện trưởng
951	2029	29.62	善良	善良	shànliáng	thiện lương	thiện lương/lương thiện/hiền lành/tốt bụng
952	2030	29.61	嘿嘿	嘿嘿	hēihēi	hắc hắc	hắc hắc/hì hì/khà khà
953	2031	29.61	杀人	殺人	shārén	sát nhân	giết người/sát nhân
954	2032	29.59	村民	村民	cūnmín	thôn dân	thôn dân
955	2036	29.49	听力	聽力	tīnglì	thính lực	thính lực/khả năng nghe
956	2038	29.44	人间	人間	rénjiān	nhân gian	nhân gian/xã hội loài người/trần gian
957	2039	29.43	男性	男性	nánxìng	nam tính	nam tính/nam giới/đàn ông
958	2042	29.38	多数	多數	duōshù	đa số	đa số/số nhiều/phần đông/phần nhiều
959	2048	29.33	批准	批准	pīzhǔn	phê chuẩn	phê chuẩn/chuẩn y/chuẩn phê/duyệt y/bằng lòng/thông qua
960	2049	29.33	腐败	腐敗	fǔbài	hủ bại	hủ bại/mục nát/thối rữa/hỏng/mục/ôi/thiu/cổ hủ/sa đoạ/hỗn loạn/đen tối
961	2050	29.32	民众	民眾	mínzhòng	dân chúng	dân chúng/quần chúng/nhân dân
962	2051	29.24	平常	平常	píngcháng	bình thường	bình thường/giản dị/ngày thường
963	2052	29.21	私人	私人	sīrén	tư nhân	tư nhân/cá nhân/người của mình
964	2054	29.21	临时	臨時	línshí	lâm thời	lâm thời/đến lúc/đến khi/tạm thời
965	2057	29.17	牺牲	犧牲	xīshēng	hy sinh	hy sinh/hi sinh/vật tế/súc vật làm vật tế
966	2061	29.11	全体	全體	quántǐ	toàn thể	toàn thể
967	2062	29.09	爆炸	爆炸	bàozhà	bạo tạc	nổ mạnh/bạo tạc/nổ/làm nổ tung/phá
968	2064	29.08	功夫	功夫	gōngfū	công phu	công phu/bản lãnh/bản lĩnh/trình độ/thời gian/công sức/võ thuật/kungfu
969	2065	29.07	得意	得意	déyì	đắc ý	đắc ý/hài lòng/tâm đắc/hả dạ/đắc chí/hả hê/hoan hỉ
970	2067	29.03	幻想	幻想	huànxiǎng	huyễn tưởng	ảo tưởng/huyễn tưởng/giả tưởng/hoang tưởng/tưởng tượng
971	2068	29.01	词典	詞典	cídiǎn	từ điển	từ điển
972	2069	29.01	推动	推動	tūidòng	thôi động	thôi động/đẩy mạnh/thúc đẩy
973	2070	29.0	邪恶	邪惡	xiéè	tà ác	tà ác/gian ác
974	2072	28.96	确认	確認	quèrèn	xác nhận	xác nhận/ghi nhận/thừa nhận
975	2075	28.94	指挥	指揮	zhǐhūi	chỉ huy	chỉ huy/sai khiến/điều khiển/người chỉ huy/nhạc trưởng
976	2077	28.89	相反	相反	xiāngfǎn	tương phản	tương phản/trái ngược nhau/trái lại/ngược lại
977	2078	28.88	主管	主管	zhǔguǎn	chủ quản	chủ quản/nhân viên chủ quản
978	2079	28.87	浙江	浙江	zhèjiāng	chiết giang	Chiết Giang/tỉnh Chiết Giang
979	2080	28.86	解放	解放	jiěfàng	giải phóng	giải phóng/tự do/phóng thích/thả tự do/tháo ra/thả ra/cởi ra
980	2081	28.8	武汉	武漢	wǔhàn	vũ hán	Vũ Hán
981	2083	28.77	俱乐部	俱樂部	jùlèbù	câu lạc bộ	câu lạc bộ
982	2086	28.71	精力	精力	jīnglì	tinh lực	tinh lực/tinh thần và thể lực/sinh lực/nghị lực
983	2089	28.68	形容	形容	xíngróng	hình dung	hình dung/hình dáng/hình dạng/miêu tả
984	2090	28.67	不安	不安	bùān	bất an	bất an/bất ổn/không yên/không thanh thản/lo lắng/không an lòng/không yên tâm/bứt rứt/băn khoăn
985	2091	28.65	改造	改造	gǎizào	cải tạo	cải tạo/sửa đổi/sửa lại
986	2093	28.63	公主	公主	gōngzhǔ	công chủ	công chúa/công chủ
987	2095	28.6	大夫	大夫	dàfū	đại phu	thầy thuốc/đại phu/bác sĩ
988	2096	28.58	运行	運行	yùnxíng	vận hành	vận hành/vận chuyển/chuyển động
989	2100	28.54	和尚	和尚	héshàng	hòa thượng	hòa thượng/hoà thượng/sư tăng/thầy chùa/sư/sư ông/sư cụ
990	2102	28.53	排名	排名	páimíng	bài danh	bài danh
991	2104	28.5	大众	大眾	dàzhòng	đại chúng	đại chúng/quần chúng/dân chúng
992	2106	28.46	男朋友	男朋友	nánpéngyǒu	nam bằng hữu	bạn trai/nam bằng hữu
993	2109	28.42	引导	引導	yǐndǎo	dẫn đạo	dẫn đường/dẫn đạo/dẫn dắt/hướng dẫn/chỉ dẫn
994	2112	28.36	提升	提昇	tíshēng	đề thăng	tăng lên/đề thăng/đề bạt/thăng cấp/trục/nâng cao/chuyển lên cao
995	2113	28.34	愤怒	憤怒	fènnù	phẫn nộ	phẫn nộ/căm phẫn
996	2117	28.29	小组	小組	xiǎozǔ	tiểu tổ	tiểu tổ/tổ/nhóm nhỏ
997	2119	28.2	完善	完善	wánshàn	hoàn thiện	hoàn thiện/trọn vẹn/đầy đủ
998	2125	28.01	尸体	屍體	shītǐ	thi thể	thi thể/xác/thây ma/xác chết
999	2128	27.98	承受	承受	chéngshòu	thừa thụ	thừa nhận/thừa thụ/chịu đựng/chống đỡ/có hiệu lực/ăn thua/tiếp nhận/nhận lấy/chấp nhận/kế thừa/thừa kế/thừa hưởng/hưởng
1000	2129	27.95	都市	都市	dūshì	đô thị	đô thị/thành phố lớn
1001	2131	27.92	小孩子	小孩子	xiǎoháizǐ	tiểu hài tử	tiểu hài tử
1002	2139	27.8	场面	場面	chángmiàn	tràng diện	trường hợp/tràng diện/pha/cảnh/cảnh đời/dàn nhạc đệm/nhạc cụ đệm/tình cảnh/hình thức/bề ngoài
1003	2141	27.77	疾病	疾病	jíbìng	tật bệnh	tật bệnh/bệnh/bệnh tật/đau ốm
1004	2144	27.71	等级	等級	děngjí	đẳng cấp	cấp bậc/đẳng cấp/cấp/bậc/thứ bậc/tôn ti trật tự/đẳng cấp xã hội
1005	2145	27.68	书籍	書籍	shūjí	thư tịch	bộ sách/thư tịch/sách vở
1006	2159	27.58	机制	機制	jīzhì	cơ chế	làm bằng máy/chế tạo bằng máy/cơ chế vận hành/cơ chế/quy luật
1007	2165	27.55	主义	主義	zhǔyì	chủ nghĩa	chủ nghĩa
1008	2169	27.49	大楼	大樓	dàlóu	đại lâu	đại lâu/đại lầu/cao ốc
1009	2171	27.47	决心	決心	juéxīn	quyết tâm	quyết tâm
1010	2173	27.45	公安	公安	gōngān	công an	công an/cảnh sát
1011	2175	27.37	姐妹	姐妹	jiěmèi	tỷ muội	tỷ muội/chị em gái/anh chị em/đồng bào/chị em
1012	2177	27.32	神情	神情	shénqíng	thần tình	vẻ mặt/thần tình/thần sắc/vẻ/nét mặt
1013	2180	27.27	军队	軍隊	jūndùi	quân đội	quân đội/nhà binh
1014	2181	27.26	空中	空中	kōngzhōng	không trung	không trung/bầu trời/trên không/thông tin
1015	2182	27.24	趋势	趨勢	qūshì	xu thế	xu thế/chiều hướng/xu hướng
1016	2186	27.16	连接	連接	liánjiē	liên tiếp	liên tiếp/nối liền/tiếp nối
1017	2188	27.15	欲望	欲望	yùwàng	dục vọng	dục vọng/ham muốn
1018	2189	27.12	危机	危機	wēijī	nguy cơ	nguy cơ/mối nguy/khủng hoảng
1019	2193	27.1	骄傲	驕傲	jiāoào	kiêu ngạo	kiêu ngạo/hãnh/kiêu căng/tự cao tự đại/ngạo mạn/tự hào/kiêu hãnh/niềm tự hào/niềm kiêu hãnh
1020	2194	27.04	人权	人權	rénquán	nhân quyền	nhân quyền/quyền lợi căn bản của con người
1021	2197	27.02	保存	保存	bǎocún	bảo tồn	bảo tồn/giữ gìn/bảo vệ
1022	2198	27.01	主编	主編	zhǔbiān	chủ biên	chủ biên/tổng biên tập
1023	2201	26.95	党员	黨員	dǎngyuán	đảng viên	đảng viên
1024	2203	26.92	科学家	科學家	kēxuéjiā	khoa học gia	khoa học gia/nhà khoa học/người nghiên cứu khoa học
1025	2204	26.91	当代	當代	dāngdài	đương đại	đương đại/đương thời/ngày nay/thời nay
1026	2205	26.9	子女	子女	zǐnv̌	tử nữ	đứa con/tử nữ/con gái/con cái/con
1027	2207	26.86	伸手	伸手	shēnshǒu	thân thủ	thân thủ/đưa tay/chìa tay/nhúng tay/thò tay
1028	2208	26.86	商务	商務	shāngwù	thương vụ	thương vụ/công việc buôn bán
1029	2209	26.85	组合	組合	zǔhé	tổ hợp	tổ hợp
1030	2211	26.83	云南	雲南	yúnnán	vân nam	Vân Nam/tỉnh Vân Nam
1031	2212	26.79	房屋	房屋	fángwū	phòng ốc	phòng ốc/nhà/cái nhà/toà nhà
1032	2213	26.77	部长	部長	bùcháng	bộ trưởng	bộ trưởng/tù trưởng/thủ lĩnh bộ lạc
1033	2214	26.77	中年	中年	zhōngnián	trung niên	trung niên
1034	2215	26.76	口语	口語	kǒuyǔ	khẩu ngữ	khẩu ngữ/tiếng/ngôn ngữ/văn nói/lời phỉ báng/vu khống
1035	2216	26.73	国民党	國民黨	guómíndǎng	quốc dân đảng	quốc dân đảng
1036	2218	26.7	信仰	信仰	xìnyǎng	tín ngưỡng	tín ngưỡng/tin tưởng và ngưỡng mộ
1037	2219	26.67	讲述	講述	jiǎngshù	giảng thuật	giảng thuật/nói đạo lý/giảng đạo lý/giải thích/xét đoán
1038	2220	26.64	理念	理念	lǐniàn	lý niệm	lý niệm
1039	2222	26.63	效率	效率	xiàolv̀	hiệu suất	hiệu suất/năng suất
1040	2224	26.62	内地	內地	nèidì	nội địa	nội địa/đất liền
1041	2225	26.62	艰难	艱難	jiānnán	gian nan	gian nan/khó khăn/gian khổ/khốn khổ
1042	2229	26.59	外交	外交	wàijiāo	ngoại giao	ngoại giao/nước mình đối với nước ngoài
1043	2231	26.54	天使	天使	tiānshǐ	thiên sứ	thiên sứ/thiên thần/sứ giả
1044	2233	26.53	亲人	親人	qīnrén	thân nhân	thân nhân/người thân/phối ngẫu/thân thương/thân thiết/mến thương
1045	2234	26.5	亲切	親切	qīnqiē	thân thiết	thân thiết/thân cận/thân mật/thân thương/nhiệt tình/ân cần
1046	2235	26.48	德语	德語	déyǔ	đức ngữ	tiếng Đức/Đức ngữ
1047	2237	26.48	仪式	儀式	yíshì	nghi thức	nghi thức/nghi lễ/lễ
1048	2238	26.46	财政	財政	cáizhèng	tài chính	tài chính
1049	2239	26.45	金钱	金錢	jīnqián	kim tiền	tiền tài/tiền bạc/kim tiền/tiền tệ
1050	2240	26.45	祝福	祝福	zhùfú	chúc phúc	chúc phúc/chúc/chúc mừng/chúc tết
1051	2248	26.28	热烈	熱烈	rèliè	nhiệt liệt	nhiệt liệt/sôi động/sôi nổi
1052	2249	26.27	戏剧	戲劇	xìjù	hí kịch	hí kịch/kịch vui/kịch/tuồng/kịch bản sân khấu
1053	2250	26.26	牌子	牌子	páizǐ	bài tử	bài tử/thẻ bài/bảng biểu/thẻ/bảng/biển/nhãn hiệu/nhịp nhạc
1054	2252	26.22	犹豫	猶豫	yóuyù	do dự	do dự/lưỡng lự/phân vân/chần chừ
1055	2255	26.2	平安	平安	píngān	bình an	bình an/bình yên/yên ổn
1056	2256	26.18	观看	觀看	guānkàn	quan khán	quan khán/xem/tham quan/quan sát/nhìn
1057	2257	26.18	选举	選舉	xuǎnjǔ	tuyển cử	tuyển cử
1058	2258	26.17	教练	教練	jiàoliàn	giáo luyện	giáo luyện/huấn luyện/huấn luyện viên
1059	2259	26.17	偶然	偶然	ǒurán	ngẫu nhiên	ngẫu nhiên/tình cờ/bất ngờ
1060	2264	26.08	莫斯科	莫斯科	mòsīkē	mạc tư khoa	Mát-xcơ-va/Mạc Tư Khoa/Moscow
1061	2266	26.07	湖南	湖南	húnán	hồ nam	Hồ Nam
1062	2269	26.01	暴力	暴力	bàolì	bạo lực	bạo lực/vũ lực/sức mạnh/quyền lực/cưỡng chế/bạo quyền/sức mạnh của nhà nước dùng để cưỡng chế/bạo lực cách mạng/cưỡng bức
1063	2273	25.99	障碍	障礙	zhàngài	chướng ngại	chướng ngại/cản trở/ngăn chặn/trở ngại/vật cản/chướng ngại vật
1064	2279	25.91	语气	語氣	yǔqì	ngữ khí	ngữ khí/khẩu khí/giọng nói/giọng điệu
1065	2281	25.88	友谊	友誼	yǒuyí	hữu nghị	hữu nghị/tình hữu nghị
1066	2282	25.88	入学	入學	rùxué	nhập học	nhập học/mới học/vào trường tiểu học
1067	2284	25.87	收获	收穫	shōuhuò	thu hoạch	thu hoạch/gặt hái
1068	2287	25.79	情节	情節	qíngjié	tình tiết	tình tiết/trường hợp/tình huống
1069	2290	25.72	极其	極其	jíqí	cực kỳ	cực kỳ/vô cùng/hết sức
1070	2291	25.72	真相	真相	zhēnxiāng	chân tướng	chân tướng/bộ mặt thật
1071	2292	25.71	敏感	敏感	mǐngǎn	mẫn cảm	mẫn cảm/nhạy cảm/thính
1072	2293	25.68	主张	主張	zhǔzhāng	chủ trương	chủ trương/cho là/cho rằng
1073	2297	25.64	地理	地理	dìlǐ	địa lý	địa lý/địa lý học/phong thuỷ
1074	2298	25.62	商场	商場	shāngcháng	thương trường	thương trường/thị trường/cửa hàng tổng hợp/cửa hàng
1075	2301	25.58	随意	隨意	súiyì	tùy ý	tùy ý/tuỳ ý
1076	2304	25.57	清醒	清醒	qīngxǐng	thanh tỉnh	thanh tỉnh/tỉnh táo/minh mẫn/sáng suốt/hồi tỉnh/tỉnh lại
1077	2306	25.57	脚步	腳步	jiǎobù	cước bộ	cước bộ/bước chân/bước
1078	2308	25.55	高手	高手	gāoshǒu	cao thủ	cao thủ
1079	2310	25.52	国王	國王	guówáng	quốc vương	quốc vương
1080	2315	25.46	请求	請求	qǐngqíu	thỉnh cầu	thỉnh cầu/đề nghị/yêu cầu/đề xuất
1081	2316	25.45	主意	主意	zhǔyì	chủ ý	chủ ý/chủ kiến/chủ định/biện pháp/phương pháp
1082	2319	25.41	别墅	別墅	biéshù	biệt thự	biệt thự/vi-la
1083	2324	25.37	同情	同情	tóngqíng	đồng tình	đồng tình/đồng cảm/thông cảm
1084	2325	25.36	联想	聯想	liánxiǎng	liên tưởng	liên tưởng/nghĩ đến
1085	2326	25.33	若干	若干	ruògān	nhược can	chắc chắn/bao nhiêu/một số/nhược can/ngần ấy cái
1086	2327	25.33	财产	財產	cáichǎn	tài sản	tài sản/của cải
1087	2331	25.28	策略	策略	cèlvè	sách lược	sách lược/có phương pháp/có sách lược
1088	2332	25.26	动手	動手	dòngshǒu	động thủ	động thủ/bắt đầu làm/bắt tay vào làm/sờ vào/chạm vào/đánh nhau
1089	2335	25.23	聚会	聚會	jùhùi	tụ hội	tụ hội/tụ họp/gặp/gặp gỡ
1090	2338	25.2	股票	股票	gǔpiào	cổ phiếu	cổ phiếu
1091	2339	25.17	定位	定位	dìngwèi	định vị	định vị/xác định vị trí/định vị trí
1092	2342	25.13	王子	王子	wángzǐ	vương tử	vương tử/hoàng tử/con vua
1093	2349	25.05	设立	設立	shèlì	thiết lập	thiết lập/thành lập/mở ra
1094	2351	25.03	秘书	祕書	mìshū	bí thư	bí thư/thư ký/công việc thư kí
1095	2353	25.02	装饰	裝飾	zhuāngshì	trang sức	trang sức/trang trí/đồ trang sức/đồ trang trí
1096	2356	24.99	顺便	順便	shùnbiàn	thuận tiện	thuận tiện/tiện thể/nhân tiện
1097	2357	24.99	远处	遠處	yuǎnchù	viễn xứ	xa xa/viễn xứ/nơi xa/phương xa
1098	2358	24.96	加工	加工	jiāgōng	gia công	gia công/chế biến/công việc hoàn chỉnh sản phẩm
1099	2361	24.93	大事	大事	dàshì	đại sự	đại sự/việc lớn/việc hệ trọng/cố sức/ra sức/cật lực
1100	2362	24.93	文艺	文藝	wényì	văn nghệ	văn nghệ
1101	2372	24.86	抗议	抗議	kàngyì	kháng nghị	kháng nghị
1102	2374	24.85	感激	感激	gǎnjī	cảm kích	cảm kích/biết ơn/cảm ơn
1103	2383	24.73	气息	氣息	qìxī	khí tức	hơi thở/khí tức/mùi
1104	2384	24.73	身影	身影	shēnyǐng	thân ảnh	thân ảnh/bóng dáng/hình thể/hình dáng
1105	2390	24.67	孩儿	孩兒	háiér	hài nhi	con/hài nhi
1106	2391	24.66	营养	營養	yíngyǎng	dinh dưỡng	dinh dưỡng/chất bổ/chất dinh dưỡng
1107	2393	24.63	接待	接待	jiēdài	tiếp đãi	tiếp đãi/chiêu đãi/tiếp đón/khoản đãi/tiếp khách
1108	2396	24.6	烦恼	煩惱	fánnǎo	phiền não	phiền não/phiền muộn/buồn phiền/buồn rầu/muộn phiền
1109	2399	24.57	粮食	糧食	liángshí	lương thực	lương thực
1110	2401	24.53	后果	後果	hòuguǒ	hậu quả	hậu quả/kết quả
1111	2404	24.49	紧急	緊急	jǐnjí	khẩn cấp	khẩn cấp/cấp bách/hiểm nghèo
1112	2405	24.49	统治	統治	tǒngzhì	thống trị	thống trị/chi phối/khống chế
1113	2408	24.45	象征	象徵	xiàngzhēng	tượng trưng	tượng trưng/biểu tượng
1114	2411	24.44	平等	平等	píngděng	bình đẳng	ngang hàng/bình đẳng/công bằng/bình quyền/bằng đẳng
1115	2412	24.4	坚定	堅定	jiāndìng	kiên định	kiên định/không dao động/kiên quyết/làm cho kiên định/giữ vững/củng cố
1116	2413	24.37	旅客	旅客	lv̌kè	lữ khách	lữ khách/hành khách
1117	2417	24.33	家族	家族	jiāzú	gia tộc	gia tộc/dòng họ
1118	2418	24.33	亲戚	親戚	qīnqī	thân thích	thân thích/thông gia
1119	2420	24.29	河南	河南	hénán	hà nam	Hà Nam/NAM/tỉnh Hà Nam
1120	2424	24.28	供应	供應	gōngyìng	cung ứng	cung ứng/cung cấp
1121	2426	24.27	积累	積累	jīlèi	tích lũy	tích lũy/tích luỹ/gom góp lại/chất chứa cho nhiều lên/vốn tích luỹ
1122	2430	24.25	小朋友	小朋友	xiǎopéngyǒu	tiểu bằng hữu	tiểu bằng hữu/trẻ em/bạn nhỏ
1123	2431	24.24	加以	加以	jiāyǐ	gia dĩ	gia dĩ/tiến hành/hơn nữa/thêm nữa/lại thêm/tăng thêm/thêm vào đó
1124	2432	24.2	遵守	遵守	zūnshǒu	tuân thủ	tuân thủ/giữ gìn/tôn trọng/giữ đúng
