rank	frequency	word	pinyin	traditional	hanviet
19911.0	2.71	番禺	fānyú	番禺	ba ngu, phiên ngu, bà ngu, phan ngu
19912.0	2.71	播报	bōbào	播報	bá báo, bả báo
19914.0	2.71	祀	sì	祀	tự
19916.0	2.71	杀毒	shādú	殺毒	sát độc, sát đốc, tát độc, tát đốc, sái độc, sái đốc
19918.0	2.71	广告语	guǎnggàoyǔ	廣告語	nghiễm cáo ngứ, nghiễm cáo ngữ, quảng cáo ngứ, quảng cáo ngữ, yểm cáo ngứ, yểm cáo ngữ, quáng cáo ngứ, quáng cáo ngữ
19919.0	2.71	名城	míngchéng	名城	danh thành
19924.0	2.71	江汉	jiānghàn	江漢	giang hán
19925.0	2.71	张家界	zhāngjiājiè	張家界	trướng gia giới, trướng cô giới, trương gia giới, trương cô giới
19926.0	2.71	大寨	dàzhài	大寨	đại trại, thái trại
19930.0	2.71	葡	pú	葡	bồ
19934.0	2.71	again	again	again	
19936.0	2.71	隶	lì	隶	đãi, lệ
19939.0	2.71	本版	běnbǎn	本版	bổn bản, bản bản
19942.0	2.71	该项	gāixiàng	該項	cai hạng
19943.0	2.71	碱	jiǎn	鹼	thiêm, dảm, kiềm
19945.0	2.71	低迷	dīmí	低迷	đê mê
19946.0	2.71	Mail	Mail	Mail	
19947.0	2.71	feel	feel	feel	
19962.0	2.7	中餐馆	zhōngcānguǎn	中餐館	trúng xan quán, trung xan quán
19963.0	2.7	擎	qíng	擎	kình
19964.0	2.7	通关	tōngguān	通關	thông quan, thông loan
19966.0	2.7	＾	＾	＾	
19967.0	2.7	布莱尔	bùláiěr	布萊爾	bố lai nhĩ
19968.0	2.7	January	January	January	
19969.0	2.7	悍	hàn	悍	hãn
19970.0	2.7	老母	lǎomǔ	老母	lão mẫu
19971.0	2.7	萤火虫	yínghuǒchóng	螢火蟲	huỳnh hỏa trùng
19973.0	2.7	杭州市	hángzhōushì	杭州市	hàng châu thị
19975.0	2.7	甲方	jiǎfāng	甲方	giáp phương
19978.0	2.7	ㄥ	ㄥ	ㄥ	
19979.0	2.7	大女儿	dànv̌ér	大女兒	đại nhữ nhi, đại nhữ nghê, đại nhữ nhân, đại nữ nhi, đại nữ nghê, đại nữ nhân, đại nứ nhi, đại nứ nghê, đại nứ nhân, thái nhữ nhi, thái nhữ nghê, thái nhữ nhân, thái nữ nhi, thái nữ nghê, thái nữ nhân, thái nứ nhi, thái nứ nghê, thái nứ nhân
19982.0	2.7	吉普	jípǔ	吉普	cát phổ
19983.0	2.7	Kbps	Kbps	Kbps	
19985.0	2.7	深得	shēndé	深得	thâm đắc
19988.0	2.69	越野车	yuèyěchē	越野車	hoạt dã xa, việt dã xa
19991.0	2.69	有礼	yǒulǐ	有禮	dựu lễ, hữu lễ
19992.0	2.69	接回	jiēhúi	接回	tiếp hối, tiếp hồi
19998.0	2.69	顺其自然	shùnqízìrán	順其自然	thuận ký tự nhiên, thuận ki tự nhiên, thuận kì tự nhiên, thuận kỳ tự nhiên
19999.0	2.69	林黛玉	líndàiyù	林黛玉	lâm đại ngọc, lâm đại túc
20005.0	2.69	墙边	qiángbiān	牆邊	tường biên
20006.0	2.69	提法	tífǎ	提法	thì pháp, để pháp, đề pháp
20007.0	2.69	桦	huà	樺	hoa
20010.0	2.69	王杰	wángjié	王傑	vượng kiệt, vương kiệt
20011.0	2.69	叟	sǒu	叟	tẩu
20015.0	2.69	湘西	xiāngxī	湘西	sương tây, sương tê, tương tây, tương tê
20019.0	2.69	咂	zā	咂	táp
20024.0	2.69	土路	tǔlù	土路	đỗ lộ, độ lộ, thổ lộ
20025.0	2.69	褐	hé	褐	hạt, cát
20029.0	2.69	锄	chú	鋤	sừ, sự
20034.0	2.69	自由化	zìyóuhuà	自由化	tự do hóa
20035.0	2.69	政治局	zhèngzhìjú	政治局	chánh trị cục, chánh trì cục, chính trị cục, chính trì cục
20037.0	2.69	March	March	March	
20041.0	2.68	怯	qiè	怯	khiếp
20043.0	2.68	难吃	nánchī	難吃	nan khiết, nan cật, nạn khiết, nạn cật
20045.0	2.68	畜	chù	畜	súc, húc
20046.0	2.68	CDMA	CDMA	CDMA	
20047.0	2.68	搽	chá	搽	trà
20052.0	2.68	教育界	jiàoyùjiè	教育界	giáo dục giới
20053.0	2.68	妞儿	nīuér	妞兒	nữu nhi, nữu nghê, nữu nhân
20056.0	2.68	踏踏实实	tàtàshíshí	踏踏實實	đạp đạp thật thật
20058.0	2.68	still	still	still	
20059.0	2.68	常州	chángzhōu	常州	thường châu
20062.0	2.68	A4	A4	A4	
20065.0	2.68	体育活动	tǐyùhuódòng	體育活動	thể dục quạt động, thể dục hoạt động
20066.0	2.68	私有化	sīyǒuhuà	私有化	tư dựu hóa, tư hữu hóa
20068.0	2.68	客观上	kèguānshàng	客觀上	khách quan thượng, khách quan thướng, khách quán thượng, khách quán thướng
20071.0	2.68	肖济东	xiàojìdōng	肖濟東	tiếu tế đông, tiếu tể đông, tiêu tế đông, tiêu tể đông
20075.0	2.68	沓	tà	沓	đạp
20077.0	2.68	茎	jīng	莖	hành
20079.0	2.68	纷	fēn	紛	phân
20081.0	2.68	写于	xiěyú	寫於	tả ư, tả hu, tả ô, tả vu
20082.0	2.68	汉英	hànyīng	漢英	hán anh
20083.0	2.68	交上	jiāoshàng	交上	giao thượng, giao thướng
20086.0	2.68	时任	shírèn	時任	thì nhậm, thì nhâm, thời nhậm, thời nhâm
20087.0	2.68	辖	xiá	轄	hạt
20088.0	2.68	要约	yàoyuē	要約	yêu ước, yếu ước
20090.0	2.68	服务台	fúwùtái	服務臺	phục vụ thai, phục vụ di, phục vụ đài
20091.0	2.68	一国两制	yīguóliǎngzhì	一國兩制	nhất quốc lạng chế, nhất quốc lưỡng chế
20092.0	2.68	删掉	shāndiào	刪掉	san trạo, san điệu
20095.0	2.67	杯中	bēizhōng	杯中	bôi trúng, bôi trung
20103.0	2.67	派上	pàishàng	派上	phái thượng, phái thướng
20104.0	2.67	创业者	chuàngyèzhě	創業者	sáng nghiệp giả, sang nghiệp giả
20108.0	2.67	病死	bìngsǐ	病死	bệnh tử
20109.0	2.67	重在	zhòngzài	重在	trọng tại, trùng tại
20110.0	2.67	田径	tiánjìng	田徑	điền kính
20111.0	2.67	家庭教育	jiātíngjiàoyù	家庭教育	gia đình giáo dục, gia thính giáo dục, cô đình giáo dục, cô thính giáo dục
20112.0	2.67	反右	fǎnyòu	反右	phiên hữu, phản hữu
20113.0	2.67	录下	lùxià	錄下	lục hạ, lục há
20116.0	2.67	崔健	cūijiàn	崔健	thôi kiện
20118.0	2.67	上海滩	shànghǎitān	上海灘	thượng hải than, thướng hải than
20125.0	2.67	这下子	zhèxiàzǐ	這下子	nghiện hạ tử, nghiện hạ tý, nghiện há tử, nghiện há tý, giá hạ tử, giá hạ tý, giá há tử, giá há tý
20128.0	2.67	娥	é	娥	nga
20134.0	2.67	喝上	hēshàng	喝上	hát thượng, hát thướng, ới thượng, ới thướng
20136.0	2.67	已故	yǐgù	已故	dĩ cố
20138.0	2.67	蕴	yùn	蘊	uấn, uẩn
20140.0	2.67	spe	spe	spe	
20142.0	2.67	忧心忡忡	yōuxīnchōngchōng	憂心忡忡	ưu tâm sung sung, ưu tâm sung xung, ưu tâm xung sung, ưu tâm xung xung
20145.0	2.67	净利润	jìnglìrùn	淨利潤	tịnh lợi nhuận
20148.0	2.67	发言权	fāyánquán	發言權	phát ngân quyền, phát ngôn quyền
20150.0	2.66	法会	fǎhùi	法會	pháp hội, pháp cối
20151.0	2.66	募	mù	募	mộ
20152.0	2.66	芳草	fāngcǎo	芳草	phương thảo
20153.0	2.66	呷	xiā	呷	hạp
20154.0	2.66	凤凰卫视	fènghuángwèishì	鳳凰衛視	phượng hoàng vệ thị
20161.0	2.66	院门	yuànmén	院門	viện môn
20162.0	2.66	一大半	yīdàbàn	一大半	nhất đại bán, nhất thái bán
20163.0	2.66	tell	tell	tell	
20164.0	2.66	北侧	běicè	北側	bắc trắc
20168.0	2.66	颊	jiá	頰	giáp
20171.0	2.66	膳	shàn	膳	thiện
20173.0	2.66	缚	fú	縛	phọc, truyện, phược
20179.0	2.66	全日制	quánrìzhì	全日制	toàn nhật chế
20180.0	2.66	米老鼠	mǐlǎoshǔ	米老鼠	mễ lão thử
20185.0	2.66	张天喜	zhāngtiānxǐ	張天喜	trướng thiên hí, trướng thiên hỉ, trương thiên hí, trương thiên hỉ
20187.0	2.66	背起	bèiqǐ	背起	bội khởi, bối khởi
20189.0	2.66	几度	jīdù	幾度	ki đạc, ki độ, kỷ đạc, kỷ độ, kí đạc, kí độ, kỉ đạc, kỉ độ
20191.0	2.66	匾	biǎn	匾	biển
20192.0	2.66	意大利语	yìdàlìyǔ	意大利語	ý đại lợi ngứ, ý đại lợi ngữ, ý thái lợi ngứ, ý thái lợi ngữ
20193.0	2.66	曾庆红	céngqìnghóng	曾慶紅	tằng khương hồng, tằng khanh hồng, tằng khánh hồng
20197.0	2.66	大佛	dàfó	大佛	đại phật, đại phất, thái phật, thái phất
20200.0	2.66	窍	qiào	竅	khiếu
20203.0	2.66	女兵	nv̌bīng	女兵	nhữ binh, nữ binh, nứ binh
20211.0	2.66	粮票	liángpiào	糧票	lương phiêu, lương tiêu, lương phiếu
20212.0	2.65	china	china	china	
20214.0	2.65	佣	yòng	傭	dong
20215.0	2.65	伊凡	yīfán	伊凡	y phàm
20218.0	2.65	话说回来	huàshuōhúilái	話說回來	thoại duyệt hối lai, thoại duyệt hối lãi, thoại duyệt hồi lai, thoại duyệt hồi lãi, thoại thuyết hối lai, thoại thuyết hối lãi, thoại thuyết hồi lai, thoại thuyết hồi lãi, thoại thuế hối lai, thoại thuế hối lãi, thoại thuế hồi lai, thoại thuế hồi lãi
20224.0	2.65	古建筑	gǔjiànzhú	古建築	cổ kiến trúc, cổ kiển trúc
20226.0	2.65	相望	xiāngwàng	相望	tương vọng, tướng vọng
20228.0	2.65	琐	suǒ	瑣	tỏa
20235.0	2.65	客运站	kèyùnzhàn	客運站	khách vận trạm
20236.0	2.65	嗑	kè	嗑	hạp
20239.0	2.65	赖以	làiyǐ	賴以	lại dĩ
20240.0	2.65	缴费	jiǎofèi	繳費	chước phí, chước bỉ, kiểu phí, kiểu bỉ
20244.0	2.65	asp	asp	asp	
20248.0	2.65	KM	KM	KM	
20249.0	2.65	啷	lāng	啷	lang
20253.0	2.65	本上	běnshàng	本上	bổn thượng, bổn thướng, bản thượng, bản thướng
20255.0	2.65	人学	rénxué	人學	nhân học
20257.0	2.65	春花	chūnhuā	春花	xuân hoa
20258.0	2.65	谐	xié	諧	hài
20261.0	2.65	用得着	yòngdézháo	用得著	dụng đắc trứ, dụng đắc khán
20264.0	2.65	胃里	wèilǐ	胃裡	vị lí, vị lý
20265.0	2.65	世乒赛	shìpīngsài	世乒賽	thế binh tái, thế binh trại
20267.0	2.65	镜中	jìngzhōng	鏡中	kính trúng, kính trung
20271.0	2.65	元朝	yuánzhāo	元朝	nguyên triều, nguyên triêu
20272.0	2.65	捍	hàn	捍	hãn
20274.0	2.65	澜	lán	瀾	lan
20279.0	2.65	处以	chùyǐ	處以	xử dĩ, xứ dĩ
20284.0	2.64	路由器	lùyóuqì	路由器	lộ do khí
20287.0	2.64	橡	xiàng	橡	tượng
20289.0	2.64	赖昌星	làichāngxīng	賴昌星	lại xương tinh
20290.0	2.64	haiguinet	haiguinet	haiguinet	
20303.0	2.64	推荐信	tūijiànxìn	推薦信	thôi tiến tín
20306.0	2.64	偎	wēi	偎	ôi
20309.0	2.64	好喝	hǎohē	好喝	hảo hát, hảo ới, hiếu hát, hiếu ới
20311.0	2.64	SB	SB	SB	
20325.0	2.63	杂货店	záhuòdiàn	雜貨店	tạp hóa điếm
20328.0	2.63	苏格拉底	sūgélādǐ	蘇格拉底	tô các lạp để, tô cách lạp để
20329.0	2.63	USA	USA	USA	
20331.0	2.63	冠军杯	guānjūnbēi	冠軍杯	quan quân bôi, quán quân bôi
20332.0	2.63	烹	pēng	烹	phanh
20333.0	2.63	音乐学院	yīnlèxuéyuàn	音樂學院	âm nhạc học viện, âm lạc học viện, âm nhạo học viện
20336.0	2.63	光碟	guāngdié	光碟	quang điệp
20337.0	2.63	有损	yǒusǔn	有損	dựu tổn, hữu tổn
20339.0	2.63	HP	HP	HP	
20342.0	2.63	七彩	qīcǎi	七彩	thất thải, thất thái
20343.0	2.63	夹克	jiākè	夾克	giáp khắc
20345.0	2.63	某地	mǒudì	某地	mỗ đích, mỗ địa
20350.0	2.63	服装店	fúzhuāngdiàn	服裝店	phục trang điếm
20351.0	2.63	干完	gānwán	乾完	can hoàn, cán hoàn, hàn hoàn, kiền hoàn
20352.0	2.63	管理处	guǎnlǐchù	管理處	quản lí xử, quản lí xứ, quản lý xử, quản lý xứ
20357.0	2.63	HTML	HTML	HTML	
20358.0	2.63	程序设计	chéngxùshèjì	程序設計	trình tự thiết kê, trình tự thiết kế
20362.0	2.63	涧	jiàn	澗	giản
20363.0	2.63	二郎	èrláng	二郎	nhị lang
20366.0	2.63	淳	chún	淳	thuần
20372.0	2.63	校领导	xiàolǐngdǎo	校領導	giáo lĩnh đạo, hiệu lĩnh đạo, hào lĩnh đạo
20373.0	2.62	学语	xuéyǔ	學語	học ngứ, học ngữ
20375.0	2.62	自备	zìbèi	自備	tự bị
20380.0	2.62	嘉年华	jiāniánhuá	嘉年華	gia niên hoa, gia niên hóa
20383.0	2.62	倍受	bèishòu	倍受	bội thụ
20384.0	2.62	详解	xiángjiě	詳解	tường giải, tường giái, tường giới
20385.0	2.62	求职者	qíuzhízhě	求職者	cầu chức giả
20389.0	2.62	ma	ma	ma	
20390.0	2.62	阿芳	āfāng	阿芳	a phương, á phương
20399.0	2.62	熬到	áodào	熬到	ngao đáo
20403.0	2.62	合理性	hélǐxìng	合理性	hợp lí tính, hợp lý tính, cáp lí tính, cáp lý tính
20409.0	2.62	鸡毛	jīmáo	雞毛	kê mao, kê mô
20415.0	2.62	找上门	zhǎoshàngmén	找上門	hoa thượng môn, hoa thướng môn, trảo thượng môn, trảo thướng môn
20416.0	2.62	稀里糊涂	xīlǐhútú	稀里糊塗	hi lí hồ đồ, hi lí hồ trà, hi lý hồ đồ, hi lý hồ trà
20417.0	2.62	执政党	zhízhèngdǎng	執政黨	chấp chánh đảng, chấp chính đảng
20420.0	2.62	巨资	jùzī	巨資	cự tư, há tư
20421.0	2.62	佛罗伦萨	fóluōlúnsà	佛羅倫薩	phật la luân tát, phất la luân tát
20426.0	2.62	墨尔本	mòěrběn	墨爾本	mặc nhĩ bổn, mặc nhĩ bản
20427.0	2.62	高职	gāozhí	高職	cao chức
20429.0	2.62	リ	リ	リ	
20430.0	2.62	迷你	mínǐ	迷你	mê nhĩ
20431.0	2.62	杭	háng	杭	hàng
20433.0	2.62	迁到	qiāndào	遷到	thiên đáo
20438.0	2.62	戏称	xìchēng	戲稱	huy xứng, huy xưng, hô xứng, hô xưng, hí xứng, hí xưng
20441.0	2.62	苦读	kǔdú	苦讀	khổ đậu, khổ độc
20443.0	2.61	OICQ	OICQ	OICQ	
20446.0	2.61	OF	OF	OF	
20461.0	2.61	刘晓庆	líuxiǎoqìng	劉曉慶	lưu hiểu khương, lưu hiểu khanh, lưu hiểu khánh
20463.0	2.61	鸽	gē	鴿	cáp
20464.0	2.61	釉	yòu	釉	dứu
20465.0	2.61	由着	yóuzháo	由著	do trứ, do khán
20469.0	2.61	书城	shūchéng	書城	thư thành
20480.0	2.61	Let	Let	Let	
20482.0	2.61	就诊	jìuzhěn	就診	tựu chẩn
20483.0	2.61	ip	ip	ip	
20484.0	2.61	思科	sīkē	思科	tư khoa, tai khoa, tứ khoa
20485.0	2.61	公示	gōngshì	公示	công kì, công thị
20488.0	2.61	壁纸	bìzhǐ	壁紙	bích chỉ
20489.0	2.61	铛	dāng	鐺	sanh, đang
20490.0	2.61	展台	zhǎntái	展臺	triển thai, triển di, triển đài
20491.0	2.61	红梅	hóngméi	紅梅	hồng mai
20493.0	2.61	有福	yǒufú	有福	dựu phúc, hữu phúc
20496.0	2.61	声声	shēngshēng	聲聲	thanh thanh
20498.0	2.6	展览会	zhǎnlǎnhùi	展攬會	triển lãm hội, triển lãm cối
20499.0	2.6	鞋底	xiédǐ	鞋底	hài để
20502.0	2.6	through	through	through	
20507.0	2.6	巴图	bātú	巴圖	ba đồ
20508.0	2.6	看医生	kànyìshēng	看醫生	khán y sanh, khán y sinh
20513.0	2.6	word	word	word	
20515.0	2.6	del	del	del	
20520.0	2.6	珠峰	zhūfēng	珠峰	châu phong
20526.0	2.6	市级	shìjí	市級	thị cấp
20527.0	2.6	总站	zǒngzhàn	總站	tổng trạm
20532.0	2.6	sorry	sorry	sorry	
20533.0	2.6	穆德	mùdé	穆德	mục đức, mặc đức
20535.0	2.6	唐龙	tánglóng	唐龍	đường long, đường sủng
20538.0	2.6	来发	láifā	來發	lai phát, lãi phát
20539.0	2.6	嗝	gé	嗝	cách
20540.0	2.6	大奖赛	dàjiǎngsài	大獎賽	đại tưởng tái, đại tưởng trại, thái tưởng tái, thái tưởng trại
20541.0	2.6	坞	wù	塢	ổ
20546.0	2.59	在此期间	zàicǐqījiān	在此期間	tại thử ky gian, tại thử kì gian, tại thử kỳ gian
20547.0	2.59	面馆	miànguǎn	面館	miến quán, diện quán
20550.0	2.59	沉下	chénxià	沉下	trầm hạ, trầm há, thẩm hạ, thẩm há, trấm hạ, trấm há
20552.0	2.59	权威性	quánwēixìng	權威性	quyền uy tính
20556.0	2.59	告一段落	gàoyīduànluò	告一段落	cáo nhất đoạn lạc
20558.0	2.59	枝头	zhītóu	枝頭	kỳ đầu, chi đầu
20559.0	2.59	酉	yǒu	酉	dậu
20560.0	2.59	news	news	news	
20563.0	2.59	捷达	jiédá	捷達	thiệp đạt, tiệp đạt
20564.0	2.59	成龙	chénglóng	成龍	thành long, thành sủng
20566.0	2.59	圭	gūi	圭	khuê
20567.0	2.59	Ｓ	Ｓ	Ｓ	
20574.0	2.59	长春市	chángchūnshì	長春市	trướng xuân thị, trường xuân thị, trưởng xuân thị
20577.0	2.59	窘	jiǒng	窘	quẫn
20579.0	2.59	张曼玉	zhāngmànyù	張曼玉	trướng mạn ngọc, trướng mạn túc, trướng man ngọc, trướng man túc, trương mạn ngọc, trương mạn túc, trương man ngọc, trương man túc
20582.0	2.59	期满	qīmǎn	期滿	ky mãn, kì mãn, kỳ mãn
20584.0	2.59	不至	bùzhì	不至	phầu chí, phủ chí, bất chí, phi chí
20585.0	2.59	连上	liánshàng	連上	liên thượng, liên thướng
20589.0	2.59	公安人员	gōngānrényuán	公安人員	công an nhân viên, công an nhân vân
20591.0	2.59	数学家	shùxuéjiā	數學家	sác học gia, sác học cô, xúc học gia, xúc học cô, số học gia, số học cô, sổ học gia, sổ học cô
20593.0	2.59	警员	jǐngyuán	警員	cảnh viên, cảnh vân
20596.0	2.59	中国人民大学	zhōngguórénmíndàxué	中國人民大學	trúng quốc nhân dân đại học, trúng quốc nhân dân thái học, trung quốc nhân dân đại học, trung quốc nhân dân thái học
20603.0	2.58	靠墙	kàoqiáng	靠牆	kháo tường, khốc tường
20612.0	2.58	er	er	er	
20615.0	2.58	装好	zhuānghǎo	裝好	trang hảo, trang hiếu
20616.0	2.58	赎	shú	贖	thục
20620.0	2.58	饮茶	yǐnchá	飲茶	ẩm trà
20622.0	2.58	您老	nínlǎo	您老	nâm lão
20624.0	2.58	沙地	shādì	沙地	sa đích, sa địa, sá đích, sá địa
20626.0	2.58	树荫	shùyìn	樹蔭	thụ ấm
20628.0	2.58	靛	diàn	靛	điện
20630.0	2.58	南朝鲜	nánzhāoxiān	南朝鮮	nam triều tiên, nam triều tiển, nam triêu tiên, nam triêu tiển
20631.0	2.58	分析师	fēnxīshī	分析師	phận tích sư, phân tích sư
20632.0	2.58	选美	xuǎnměi	選美	tuyến mĩ, tuyến mỹ, tuyển mĩ, tuyển mỹ
20634.0	2.58	阿甘	āgān	阿甘	a cam, á cam
20637.0	2.58	American	American	American	
20639.0	2.58	电影票	diànyǐngpiào	電影票	điện ảnh phiêu, điện ảnh tiêu, điện ảnh phiếu
20646.0	2.58	三维	sānwéi	三維	tam duy, tám duy
20647.0	2.58	瘤	líu	瘤	lựu
20648.0	2.58	小站	xiǎozhàn	小站	tiểu trạm
20650.0	2.58	job	job	job	
20651.0	2.58	内心世界	nèixīnshìjiè	內心世界	nội tâm thế giới, nạp tâm thế giới
20655.0	2.58	南侧	náncè	南側	nam trắc
20657.0	2.58	杨老师	yánglǎoshī	楊老師	dương lão sư
20663.0	2.58	北京站	běijīngzhàn	北京站	bắc kinh trạm
20664.0	2.58	小波	xiǎobō	小波	tiểu ba
20672.0	2.57	前列腺炎	qiánlièxiànyán	前列腺炎	tiền liệt tuyến viêm, tiền liệt tuyến đàm, tiền liệt tuyến diễm
20677.0	2.57	惺	xīng	惺	tinh
20680.0	2.57	潇	xiāo	瀟	tiêu
20684.0	2.57	独立性	dúlìxìng	獨立性	độc lập tính
20685.0	2.57	大案	dààn	大案	đại án, thái án
20686.0	2.57	图中	túzhōng	圖中	đồ trúng, đồ trung
20689.0	2.57	煮饭	zhǔfàn	煮飯	chử phãn, chử phạn
20690.0	2.57	乙方	yǐfāng	乙方	ất phương
20691.0	2.57	纶	lún	綸	luân
20693.0	2.57	KTV	KTV	KTV	
20696.0	2.57	夜深人静	yèshēnrénjìng	夜深人靜	dạ thâm nhân tĩnh
20697.0	2.57	小火	xiǎohuǒ	小火	tiểu hỏa
20700.0	2.57	难以忍受	nányǐrěnshòu	難以忍受	nan dĩ nhẫn thụ, nạn dĩ nhẫn thụ
20706.0	2.57	里昂	lǐáng	里昂	lí ngang, lý ngang
20709.0	2.57	CC	CC	CC	
20714.0	2.57	均属	jūnshǔ	均屬	vận thuộc, vận chúc, vận chú, quân thuộc, quân chúc, quân chú
20715.0	2.57	焰	yàn	焰	diễm
20717.0	2.57	浙江大学	zhèjiāngdàxué	浙江大學	chiết giang đại học, chiết giang thái học
20720.0	2.56	育儿	yùér	育兒	dục nhi, dục nghê, dục nhân
20724.0	2.56	死因	sǐyīn	死因	tử nhân
20726.0	2.56	every	every	every	
20731.0	2.56	停水	tíngshǔi	停水	đình thủy
20737.0	2.56	抬到	táidào	抬到	sĩ đáo, đài đáo
20738.0	2.56	图集	tújí	圖集	đồ tập
20739.0	2.56	哈拉	hālā	哈拉	cáp lạp
20740.0	2.56	不思	bùsī	不思	phầu tư, phầu tai, phầu tứ, phủ tư, phủ tai, phủ tứ, bất tư, bất tai, bất tứ, phi tư, phi tai, phi tứ
20743.0	2.56	offer	offer	offer	
20746.0	2.56	big	big	big	
20747.0	2.56	鄂	è	鄂	ngạc
20757.0	2.56	襄	xiāng	襄	tương
20759.0	2.56	金奖	jīnjiǎng	金獎	kim tưởng
20762.0	2.56	迫于	pòyú	迫於	bách ư, bách hu, bách ô, bách vu
20763.0	2.56	B2	B2	B2	
20768.0	2.56	颈部	jǐngbù	頸部	cảnh bộ
20769.0	2.56	倭	wēi	倭	oa, uy, nụy
20771.0	2.56	http	http	http	
20779.0	2.56	条纹	tiáowén	條紋	điều văn, thiêu văn, điêu văn
20781.0	2.56	学部	xuébù	學部	học bộ
20785.0	2.55	增至	zēngzhì	增至	tăng chí
20787.0	2.55	迈向	màixiàng	邁向	mại hướng, mại hưởng
20789.0	2.55	褒	bāo	褒	bao
20790.0	2.55	Peter	Peter	Peter	
20791.0	2.55	专家组	zhuānjiāzǔ	專家組	chuyên gia tổ, chuyên cô tổ
20795.0	2.55	un	un	un	
20797.0	2.55	加沙	jiāshā	加沙	gia sa, gia sá
20799.0	2.55	Oct	Oct	Oct	
20800.0	2.55	教师节	jiàoshījié	教師節	giáo sư tiết, giáo sư tiệt
20801.0	2.55	圣彼得堡	shèngbǐdébǎo	聖彼得堡	thánh bỉ đắc bảo
20807.0	2.55	皖	wǎn	皖	hoàn, hoán
20809.0	2.55	历历在目	lìlìzàimù	歷歷在目	lịch lịch tại mục
20810.0	2.55	test	test	test	
20812.0	2.55	文化部	wénhuàbù	文化部	văn hóa bộ, vấn hóa bộ
20813.0	2.55	意犹未尽	yìyóuwèijǐn	意猶未盡	ý do vị tẫn, ý do vị tận, ý do mùi tẫn, ý do mùi tận, ý dứu vị tẫn, ý dứu vị tận, ý dứu mùi tẫn, ý dứu mùi tận
20819.0	2.55	水边	shǔibiān	水邊	thủy biên
20822.0	2.55	拿上	náshàng	拿上	noa thượng, noa thướng, nã thượng, nã thướng, nư thượng, nư thướng
20825.0	2.55	李泽楷	lǐzékǎi	李澤楷	lí trạch khải, lí trạch giai, lý trạch khải, lý trạch giai
20828.0	2.55	嫌犯	xiánfàn	嫌犯	hiềm phạm
20830.0	2.55	木质	mùzhí	木質	mộc chất, mộc chí
20833.0	2.55	禀	bǐng	稟	lẫm, bẩm
20835.0	2.55	量化	liànghuà	量化	lương hóa, lượng hóa
20836.0	2.55	霄	xiāo	霄	tiêu
20837.0	2.54	咋办	zhàbàn	咋辦	trá biện, trá bạn, trách biện, trách bạn
20841.0	2.54	北朝鲜	běizhāoxiān	北朝鮮	bắc triều tiên, bắc triều tiển, bắc triêu tiên, bắc triêu tiển
20842.0	2.54	德州	dézhōu	德州	đức châu
20844.0	2.54	小燕子	xiǎoyànzǐ	小燕子	tiểu yến tử, tiểu yến tý, tiểu yên tử, tiểu yên tý
20846.0	2.54	玻璃门	bōlímén	玻璃門	pha ly môn, pha li môn
20848.0	2.54	外挂	wàiguà	外掛	ngoại quải
20852.0	2.54	江浙	jiāngzhè	江浙	giang chiết
20853.0	2.54	斜对面	xiédùimiàn	斜對面	gia đối miến, gia đối diện, tà đối miến, tà đối diện
20854.0	2.54	六千	lìuqiān	六千	lục thiên
20855.0	2.54	丢到	dīudào	丟到	đâu đáo
20857.0	2.54	理想主义	lǐxiǎngzhǔyì	理想主義	lí tưởng chủ nghĩa, lý tưởng chủ nghĩa
20860.0	2.54	临时工	línshígōng	臨時工	lâm thì công, lâm thời công, lấm thì công, lấm thời công
20861.0	2.54	捱	ái	捱	nhai
20866.0	2.54	台中	táizhōng	臺中	thai trúng, thai trung, di trúng, di trung, đài trúng, đài trung
20868.0	2.54	巴塞罗那	bāsāiluōnà	巴塞羅那	ba tái la na, ba tái la nả, ba tắc la na, ba tắc la nả
20870.0	2.53	麦克	màikè	麥克	mạch khắc
20873.0	2.53	size	size	size	
20874.0	2.53	棱	léng	棱	lăng, lắng
20877.0	2.53	陈永贵	chényǒnggùi	陳永貴	trần vĩnh quý, trận vĩnh quý
20878.0	2.53	老杨	lǎoyáng	老楊	lão dương
20880.0	2.53	闪光灯	shǎnguāngdēng	閃光燈	thiểm quang đăng
20887.0	2.53	戚	qī	戚	thích
20888.0	2.53	商业街	shāngyèjiē	商業街	thương nghiệp nhai
20891.0	2.53	回校	húixiào	回校	hối giáo, hối hiệu, hối hào, hồi giáo, hồi hiệu, hồi hào
20895.0	2.53	销售量	xiāoshòuliàng	銷售量	tiêu thụ lương, tiêu thụ lượng
20899.0	2.53	Nov	Nov	Nov	
20901.0	2.53	ㄨ	ㄨ	ㄨ	
20906.0	2.53	律师事务所	lv̀shīshìwùsuǒ	律師事務所	luật sư sự vụ sở
20909.0	2.53	春夏	chūnxià	春夏	xuân giạ, xuân hạ, xuân giá
20910.0	2.53	特殊性	tèshūxìng	特殊性	đặc thù tính
20913.0	2.53	南京大学	nánjīngdàxué	南京大學	nam kinh đại học, nam kinh thái học
20915.0	2.53	拚	pàn	拚	biện, phấn, phiên
20918.0	2.53	大观园	dàguānyuán	大觀園	đại quan viên, đại quán viên, thái quan viên, thái quán viên
20924.0	2.53	坂	bǎn	坂	phản
20927.0	2.52	隅	yú	隅	ngung
